	Protein Inference	Main Accession	Description	Protein Group	Secondary Accessions	Chromosome	Gene Name	Taxonomy	Organism Identifier	Validated Coverage [%]	All Coverage [%]	Possible Coverage [%]	#Peptides	#Validated Peptides	#Unique Peptides	#Validated Unique Peptides	#PSMs	#Validated PSMs	Confidently Localized Modification Sites	#Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Spectrum Counting	MW [kDa]	Confidence [%]	Validation
11	Related Proteins	MGYP003682102197		MGYP003682102197,MGYP003682458207,MGYP003682715387,MGYP003683490245,MGYP003683619999,MGYP003683822269,MGYP003683870895,MGYP003683915405,MGYP003684252551,MGYP003684470827,MGYP003684484153,MGYP003684485169,MGYP003684615097,MGYP003684651989,MGYP003684883479,MGYP003684973441,MGYP003685012677,MGYP003685708621,MGYP003685740557,MGYP003685894757,MGYP003685895083,MGYP003686050247,MGYP003686187715,MGYP003687009585,MGYP003687050163,MGYP003687367883,MGYP003687665423,MGYP003687781177,MGYP003687919419,MGYP003687947341,MGYP003688405753,MGYP003688677307,MGYP003688783903,MGYP003688787471,MGYP003688891897,MGYP003689189101,MGYP003689214593,MGYP003689256839,MGYP003689260545,MGYP003689545141,MGYP003689751451,MGYP003690128079,MGYP003690328411,MGYP003690420409,MGYP003690522663,MGYP003690529143,MGYP003690612763,MGYP003691279891,MGYP003691429721,MGYP003691475667,MGYP003691592981,MGYP003692483189	MGYP003682458207,MGYP003682715387,MGYP003683490245,MGYP003683619999,MGYP003683822269,MGYP003683870895,MGYP003683915405,MGYP003684252551,MGYP003684470827,MGYP003684484153,MGYP003684485169,MGYP003684615097,MGYP003684651989,MGYP003684883479,MGYP003684973441,MGYP003685012677,MGYP003685708621,MGYP003685740557,MGYP003685894757,MGYP003685895083,MGYP003686050247,MGYP003686187715,MGYP003687009585,MGYP003687050163,MGYP003687367883,MGYP003687665423,MGYP003687781177,MGYP003687919419,MGYP003687947341,MGYP003688405753,MGYP003688677307,MGYP003688783903,MGYP003688787471,MGYP003688891897,MGYP003689189101,MGYP003689214593,MGYP003689256839,MGYP003689260545,MGYP003689545141,MGYP003689751451,MGYP003690128079,MGYP003690328411,MGYP003690420409,MGYP003690522663,MGYP003690529143,MGYP003690612763,MGYP003691279891,MGYP003691429721,MGYP003691475667,MGYP003691592981,MGYP003692483189					4.86	4.86	53.44	1	1	1	1	1	1	Oxidation of M (M182)	Oxidation of M (1)			45.305978389224904	25.21595559011179	73.36412625096229	Doubtful
12	Related Proteins	MGYP001091608498		MGYP001091608498,MGYP003682337393,MGYP003683337845,MGYP003684567429,MGYP003686485153,MGYP003686635641,MGYP003688529033,MGYP003688808821,MGYP003690342333,MGYP003691552153,MGYP003691675707	MGYP003682337393,MGYP003683337845,MGYP003684567429,MGYP003686485153,MGYP003686635641,MGYP003688529033,MGYP003688808821,MGYP003690342333,MGYP003691552153,MGYP003691675707					1.48	1.48	58.67	1	1	1	1	1	1					11.261919371551913	102.71984056069304	73.36412625096229	Doubtful
13	Related Proteins	MGYP000061050325		MGYP000061050325,MGYP000284104769,MGYP000414786983,MGYP000579634602,MGYP000621220518,MGYP000859661794,MGYP001212526155,MGYP001300579104,MGYP001450087081,MGYP001563668906,MGYP003570325605,MGYP003682165667,MGYP003683072131,MGYP003683412423,MGYP003683460303,MGYP003684415469,MGYP003685162185,MGYP003685362151,MGYP003685474819,MGYP003686149929,MGYP003686576647,MGYP003686590805,MGYP003687882579,MGYP003688904325,MGYP003689539113,MGYP003689627565,MGYP003690217813,MGYP003690279605,MGYP003690448199,MGYP003690613435,MGYP003690770515,MGYP003690822023,MGYP003691057425,MGYP003691142269,MGYP003691332521,MGYP003691375717	MGYP000284104769,MGYP000414786983,MGYP000579634602,MGYP000621220518,MGYP000859661794,MGYP001212526155,MGYP001300579104,MGYP001450087081,MGYP001563668906,MGYP003570325605,MGYP003682165667,MGYP003683072131,MGYP003683412423,MGYP003683460303,MGYP003684415469,MGYP003685162185,MGYP003685362151,MGYP003685474819,MGYP003686149929,MGYP003686576647,MGYP003686590805,MGYP003687882579,MGYP003688904325,MGYP003689539113,MGYP003689627565,MGYP003690217813,MGYP003690279605,MGYP003690448199,MGYP003690613435,MGYP003690770515,MGYP003690822023,MGYP003691057425,MGYP003691142269,MGYP003691332521,MGYP003691375717					9.52	9.52	86.67	1	1	1	1	1	1	Oxidation of M (M99)	Oxidation of M (1)			108.53520097638494	11.385029452883629	64.0	Doubtful
14	Related Proteins	MGYP000352603975		MGYP000352603975,MGYP000660414854,MGYP003689823665,MGYP003689935517	MGYP000660414854,MGYP003689823665,MGYP003689935517					16.67	16.67	82.22	1	1	1	1	1	1	Oxidation of M (M9)	Oxidation of M (1)			133.46896336285175	9.35704705335652	73.36412625096229	Doubtful
15	Single Protein	MGYP000590774518		MGYP000590774518						4.15	4.15	57.83	1	1	1	1	1	1	Oxidation of M (M281)	Oxidation of M (1)			34.29410864184385	34.45754382998129	73.36412625096229	Doubtful
16	Related Proteins	MGYP003682876591		MGYP003682876591,MGYP003683077647,MGYP003683304467,MGYP003683710799,MGYP003684479151,MGYP003684936347,MGYP003686270827,MGYP003688366889	MGYP003683077647,MGYP003683304467,MGYP003683710799,MGYP003684479151,MGYP003684936347,MGYP003686270827,MGYP003688366889					6.86	6.86	73.14	1	1	1	1	1	1					61.72939555531892	19.63820825172797	73.36412625096229	Doubtful
17	Related Proteins	MGYP000042297830		MGYP000042297830,MGYP000135223169	MGYP000135223169					20.06	20.06	55.16	5	5	3	3	5	5	Oxidation of M (M284)	Oxidation of M (1)			155.78396354654618	35.44867452226683	81.60152526215442	Confident
18	Single Protein	MGYP003684808019		MGYP003684808019						0.0	18.37	81.63	2	0	2	0	2	0					0.0	5.75404971080839	64.0	Doubtful
19	Related Proteins	MGYP003683055491		MGYP003683055491,MGYP003683059647,MGYP003683558629,MGYP003683611607,MGYP003683743227,MGYP003684031285,MGYP003684403859,MGYP003684964699,MGYP003685965407,MGYP003686116989,MGYP003686935203,MGYP003688008399,MGYP003688374035,MGYP003688471463,MGYP003688530113,MGYP003688850395,MGYP003689633579,MGYP003689972559,MGYP003690105793,MGYP003691481073,MGYP003691511871	MGYP003683059647,MGYP003683558629,MGYP003683611607,MGYP003683743227,MGYP003684031285,MGYP003684403859,MGYP003684964699,MGYP003685965407,MGYP003686116989,MGYP003686935203,MGYP003688008399,MGYP003688374035,MGYP003688471463,MGYP003688530113,MGYP003688850395,MGYP003689633579,MGYP003689972559,MGYP003690105793,MGYP003691481073,MGYP003691511871					5.85	5.85	89.89	1	1	1	1	1	1					58.442031294976495	20.75223916896378	73.36412625096229	Doubtful
20	Single Protein	MGYP900000095924		MGYP900000095924						9.49	17.0	77.7	11	7	3	2	12	8	Oxidation of M (M106);Pyrolidone from Q (R199)	Oxidation of M (1);Pyrolidone from Q (1)			121.93460850433367	48.740096190514954	79.61783439490446	Confident
21	Related Proteins	MGYP000099942345		MGYP000099942345,MGYP003688066741,MGYP003690344385,MGYP003690683155	MGYP003688066741,MGYP003690344385,MGYP003690683155					11.56	11.56	80.63	2	2	1	1	3	3	Oxidation of M (M50, M122)	Oxidation of M (2)			104.33137276955311	35.08991664419912	83.50202429149797	Confident
22	Related Proteins	MGYP003683616655		MGYP003683616655,MGYP003683771181,MGYP003683791241,MGYP003683991387,MGYP003685241179,MGYP003685379639,MGYP003685480835,MGYP003685544873,MGYP003685586181,MGYP003685594657,MGYP003685613747,MGYP003685726185,MGYP003685878633,MGYP003686418747,MGYP003686527661,MGYP003686872267,MGYP003687423171,MGYP003687989531,MGYP003688006933,MGYP003688435901,MGYP003688556151,MGYP003688647465,MGYP003688733651,MGYP003689027393,MGYP003689140825,MGYP003690295277,MGYP003690690231,MGYP003690943901,MGYP003691434949,MGYP003691546191,MGYP003691632865,MGYP003691738015,MGYP003691928251,MGYP003692029765	MGYP003683771181,MGYP003683791241,MGYP003683991387,MGYP003685241179,MGYP003685379639,MGYP003685480835,MGYP003685544873,MGYP003685586181,MGYP003685594657,MGYP003685613747,MGYP003685726185,MGYP003685878633,MGYP003686418747,MGYP003686527661,MGYP003686872267,MGYP003687423171,MGYP003687989531,MGYP003688006933,MGYP003688435901,MGYP003688556151,MGYP003688647465,MGYP003688733651,MGYP003689027393,MGYP003689140825,MGYP003690295277,MGYP003690690231,MGYP003690943901,MGYP003691434949,MGYP003691546191,MGYP003691632865,MGYP003691738015,MGYP003691928251,MGYP003692029765					5.64	5.64	88.72	1	1	1	1	1	1					57.090770455786284	21.70169525690183	64.0	Doubtful
23	Single Protein	MGYP003691031689		MGYP003691031689						12.57	12.57	70.66	1	1	1	1	1	1					62.90893814554795	17.81183424779507	73.36412625096229	Doubtful
24	Related Proteins	MGYP003684224763		MGYP003684224763,MGYP003684327963	MGYP003684327963					1.17	1.17	22.86	1	1	1	1	1	1					13.566900122048118	122.77424728318752	73.36412625096229	Doubtful
25	Related Proteins	MGYP000696934783		MGYP000696934783,MGYP003685473509,MGYP003692125917	MGYP003685473509,MGYP003692125917					16.48	16.48	86.81	1	1	1	1	1	1					125.02156061836745	9.061875219920811	73.36412625096229	Doubtful
26	Single Protein	MGYP003682233539		MGYP003682233539						13.27	15.43	53.7	4	3	3	2	4	3	Oxidation of M (M235)	Oxidation of M (1)			100.1017225221388	35.063092242612896	81.60152526215442	Confident
27	Related Proteins	MGYP000417447820		MGYP000417447820,MGYP003682862445,MGYP003684220681,MGYP003684304229,MGYP003684433415,MGYP003684579365,MGYP003685275227,MGYP003685480251,MGYP003685485433,MGYP003685494497,MGYP003685518999,MGYP003685684083,MGYP003685803791,MGYP003686044725,MGYP003686119439,MGYP003686172953,MGYP003686378461,MGYP003686741693,MGYP003686889555,MGYP003687207637,MGYP003688265121,MGYP003688498153,MGYP003688641035,MGYP003688798955,MGYP003688830077,MGYP003689278925,MGYP003690323729,MGYP003690441065,MGYP003690641605,MGYP003690669281,MGYP003690788093,MGYP003690921601,MGYP003692235413	MGYP003682862445,MGYP003684220681,MGYP003684304229,MGYP003684433415,MGYP003684579365,MGYP003685275227,MGYP003685480251,MGYP003685485433,MGYP003685494497,MGYP003685518999,MGYP003685684083,MGYP003685803791,MGYP003686044725,MGYP003686119439,MGYP003686172953,MGYP003686378461,MGYP003686741693,MGYP003686889555,MGYP003687207637,MGYP003688265121,MGYP003688498153,MGYP003688641035,MGYP003688798955,MGYP003688830077,MGYP003689278925,MGYP003690323729,MGYP003690441065,MGYP003690641605,MGYP003690669281,MGYP003690788093,MGYP003690921601,MGYP003692235413					3.05	3.05	52.28	1	1	1	1	1	1	Oxidation of M (M329)	Oxidation of M (1)			33.824326331681604	39.965355062803965	73.36412625096229	Doubtful
28	Single Protein	MGYP000600775342		MGYP000600775342						9.54	12.72	39.02	3	2	3	2	3	2	Oxidation of M (M227)	Oxidation of M (1)			61.922904632294845	37.19998617191968	81.60152526215442	Doubtful
29	Related Proteins	MGYP000195630189		MGYP000195630189,MGYP003683946229	MGYP003683946229					17.65	17.65	45.59	1	1	1	1	1	1					154.3234888882973	7.106478493028789	73.36412625096229	Doubtful
30	Related Proteins	MGYP003682757199		MGYP003682757199,MGYP003683033113,MGYP003683302959,MGYP003683349427,MGYP003683381655,MGYP003683431241,MGYP003683588187,MGYP003683604411,MGYP003683758011,MGYP003684223987,MGYP003684265087,MGYP003684364931,MGYP003684608975,MGYP003684687617,MGYP003685100653,MGYP003685239277,MGYP003685326095,MGYP003685328777,MGYP003685399163,MGYP003685459609,MGYP003685469835,MGYP003685848671,MGYP003685893797,MGYP003685927861,MGYP003686004683,MGYP003686247459,MGYP003686307751,MGYP003686312495,MGYP003686335647,MGYP003686384737,MGYP003686690623,MGYP003687452277,MGYP003687552483,MGYP003687748679,MGYP003687915635,MGYP003688247041,MGYP003688247757,MGYP003688540433,MGYP003688552067,MGYP003689179395,MGYP003689810087,MGYP003689887547,MGYP003689931119,MGYP003690994455,MGYP003691166473,MGYP003691474201	MGYP003683033113,MGYP003683302959,MGYP003683349427,MGYP003683381655,MGYP003683431241,MGYP003683588187,MGYP003683604411,MGYP003683758011,MGYP003684223987,MGYP003684265087,MGYP003684364931,MGYP003684608975,MGYP003684687617,MGYP003685100653,MGYP003685239277,MGYP003685326095,MGYP003685328777,MGYP003685399163,MGYP003685459609,MGYP003685469835,MGYP003685848671,MGYP003685893797,MGYP003685927861,MGYP003686004683,MGYP003686247459,MGYP003686307751,MGYP003686312495,MGYP003686335647,MGYP003686384737,MGYP003686690623,MGYP003687452277,MGYP003687552483,MGYP003687748679,MGYP003687915635,MGYP003688247041,MGYP003688247757,MGYP003688540433,MGYP003688552067,MGYP003689179395,MGYP003689810087,MGYP003689887547,MGYP003689931119,MGYP003690994455,MGYP003691166473,MGYP003691474201					14.62	14.62	88.89	2	2	2	2	5	5	Oxidation of M (M27)	Oxidation of M (1)			324.8915555543101	19.41065379236565	83.50202429149797	Confident
31	Related Proteins	MGYP000422683921		MGYP000422683921,MGYP003690222319,MGYP003691597211	MGYP003690222319,MGYP003691597211					4.83	4.83	23.56	1	1	1	1	1	1					40.31307464837155	34.28673584929454	73.36412625096229	Doubtful
32	Related Proteins	MGYP001033264935		MGYP001033264935,MGYP003684743237,MGYP003686031969,MGYP003686311363,MGYP003686428681,MGYP003686493349,MGYP003687403987,MGYP003687636735,MGYP003687675227,MGYP003688976625,MGYP003689248527,MGYP003689457279,MGYP003689489463,MGYP003690129317,MGYP003690227925,MGYP003692466519	MGYP003684743237,MGYP003686031969,MGYP003686311363,MGYP003686428681,MGYP003686493349,MGYP003687403987,MGYP003687636735,MGYP003687675227,MGYP003688976625,MGYP003689248527,MGYP003689457279,MGYP003689489463,MGYP003690129317,MGYP003690227925,MGYP003692466519					30.23	30.23	90.7	1	1	1	1	1	1					253.2488022782315	4.9534224752243095	73.36412625096229	Doubtful
33	Single Protein	MGYP003684126075		MGYP003684126075						7.87	7.87	62.2	2	2	2	2	2	2					176.36970158662547	13.05396258101235	79.61783439490446	Confident
34	Related Proteins	MGYP000102793995		MGYP000102793995,MGYP003683366721,MGYP003684306047,MGYP003685753385,MGYP003686343287	MGYP003683366721,MGYP003684306047,MGYP003685753385,MGYP003686343287					7.43	8.62	29.57	4	3	1	1	5	4	Oxidation of M (M384, M502)	Oxidation of M (2)			70.11858318656915	72.86789059671257	83.50202429149797	Confident
35	Single Protein	MGYP000458072019		MGYP000458072019						10.42	10.42	86.46	1	1	1	1	1	1	Oxidation of M (M74)	Oxidation of M (1)			118.99642516687986	10.14639052209741	73.36412625096229	Doubtful
36	Related Proteins	MGYP003685319521		MGYP003685319521,MGYP003687265287	MGYP003687265287					2.44	2.44	43.53	1	1	1	1	1	1	Oxidation of M (M301)	Oxidation of M (1)			23.460102823874177	57.164577959836905	73.36412625096229	Doubtful
37	Related Proteins	MGYP000319484772		MGYP000319484772,MGYP001122960271,MGYP003682529383,MGYP003683629181,MGYP003684791319,MGYP003687923243	MGYP001122960271,MGYP003682529383,MGYP003683629181,MGYP003684791319,MGYP003687923243					14.17	18.33	25.0	2	1	2	1	2	1					86.63774814781603	12.519338859504648	79.61783439490446	Doubtful
38	Related Proteins	MGYP003683473145		MGYP003683473145,MGYP003686509381	MGYP003686509381					5.58	5.58	73.49	1	1	1	1	1	1					49.63167481834687	23.292871375249252	73.36412625096229	Doubtful
39	Related Proteins	MGYP003682873045		MGYP003682873045,MGYP003684843567,MGYP003684985929,MGYP003688508013,MGYP003690765079	MGYP003684843567,MGYP003684985929,MGYP003688508013,MGYP003690765079					11.94	11.94	89.55	1	1	1	1	2	1					82.30586074042525	15.30168866962686	64.0	Doubtful
40	Single Protein	MGYP003684063553		MGYP003684063553						0.0	10.48	47.62	2	0	2	0	2	0					0.0	22.7647384858837	64.0	Doubtful
41	Related Proteins	MGYP003682454553		MGYP003682454553,MGYP003682587497,MGYP003683077647,MGYP003683617291,MGYP003684479151,MGYP003684936347,MGYP003686469383,MGYP003686552537,MGYP003686552785,MGYP003687838069,MGYP003690267311	MGYP003682587497,MGYP003683077647,MGYP003683617291,MGYP003684479151,MGYP003684936347,MGYP003686469383,MGYP003686552537,MGYP003686552785,MGYP003687838069,MGYP003690267311					9.6	9.6	58.61	2	2	1	1	2	2	Oxidation of M (M8, M11)	Oxidation of M (2)			70.29682056121729	33.78045022290212	73.36412625096229	Confident
42	Related Proteins	MGYP003682239071		MGYP003682239071,MGYP003683102757,MGYP003685430315,MGYP003686341259,MGYP003686703239,MGYP003687688713,MGYP003687802255,MGYP003688421717,MGYP003689478575,MGYP003690132181,MGYP003692124699	MGYP003683102757,MGYP003685430315,MGYP003686341259,MGYP003686703239,MGYP003687688713,MGYP003687802255,MGYP003688421717,MGYP003689478575,MGYP003690132181,MGYP003692124699					5.48	5.48	75.34	1	1	1	1	1	1	Oxidation of M (M79)	Oxidation of M (1)			38.73216976020011	32.733003632165044	73.36412625096229	Doubtful
43	Single Protein	MGYP001601802432		MGYP001601802432						35.21	37.57	81.66	12	11	2	2	12	11	Oxidation of M (M128, M167, M286)	Oxidation of M (3)			198.391977029038	36.29219504385289	81.60152526215442	Confident
44	Related Proteins	MGYP000282804562		MGYP000282804562,MGYP003684110377,MGYP003684605295,MGYP003685527517,MGYP003690171063	MGYP003684110377,MGYP003684605295,MGYP003685527517,MGYP003690171063					2.62	2.62	68.32	1	1	1	1	1	1					28.545385227893142	41.215788586282464	64.0	Doubtful
45	Related Proteins	MGYP003682150037		MGYP003682150037,MGYP003682316839,MGYP003683555889,MGYP003683922653,MGYP003685088639,MGYP003685158709,MGYP003686611501,MGYP003687719325,MGYP003688612439,MGYP003688797735,MGYP003688861849,MGYP003691777013	MGYP003682316839,MGYP003683555889,MGYP003683922653,MGYP003685088639,MGYP003685158709,MGYP003686611501,MGYP003687719325,MGYP003688612439,MGYP003688797735,MGYP003688861849,MGYP003691777013					4.11	4.11	62.72	1	1	1	1	1	1	Oxidation of M (M307)	Oxidation of M (1)			28.879249382605344	41.19254348229115	73.36412625096229	Doubtful
46	Related Proteins	MGYP003683140247		MGYP003683140247,MGYP003684696255,MGYP003684699425,MGYP003688416931,MGYP003690657713	MGYP003684696255,MGYP003684699425,MGYP003688416931,MGYP003690657713					4.85	4.85	68.48	1	1	1	1	1	1					33.14329962701687	36.16222957525439	73.36412625096229	Doubtful
47	Related Proteins	MGYP003684522375		MGYP003684522375,MGYP003685595125,MGYP003686029537,MGYP003686138793,MGYP003687372033,MGYP003688898237,MGYP003689716925,MGYP003689914923	MGYP003685595125,MGYP003686029537,MGYP003686138793,MGYP003687372033,MGYP003688898237,MGYP003689716925,MGYP003689914923					5.73	5.73	72.25	1	1	1	1	1	1					49.38351644425514	24.62540613940389	73.36412625096229	Doubtful
48	Related Proteins	MGYP003683768551		MGYP003683768551,MGYP003683855489,MGYP003684007019,MGYP003684109571,MGYP003684145495,MGYP003685981423,MGYP003686006873,MGYP003687697961,MGYP003688171909,MGYP003689211033,MGYP003690698253,MGYP003692193685	MGYP003683855489,MGYP003684007019,MGYP003684109571,MGYP003684145495,MGYP003685981423,MGYP003686006873,MGYP003687697961,MGYP003688171909,MGYP003689211033,MGYP003690698253,MGYP003692193685					4.09	4.09	59.86	1	1	1	1	1	1					25.389982747689015	44.44551886146748	73.36412625096229	Doubtful
49	Related Proteins	MGYP000132509760		MGYP000132509760,MGYP003682175471,MGYP003682838195,MGYP003683346047,MGYP003683630735,MGYP003683819701,MGYP003683947289,MGYP003684005891,MGYP003684453233,MGYP003684848235,MGYP003685011671,MGYP003685055549,MGYP003685057599,MGYP003685122985,MGYP003685131047,MGYP003685212353,MGYP003685432323,MGYP003685628847,MGYP003686325551,MGYP003686344391,MGYP003686718071,MGYP003687022997,MGYP003687382363,MGYP003688200893,MGYP003688241157,MGYP003688424705,MGYP003688744145,MGYP003688984281,MGYP003689107263,MGYP003689187941,MGYP003689391675,MGYP003689504623,MGYP003689631659,MGYP003690050075,MGYP003690055089,MGYP003690178417,MGYP003690839153,MGYP003690865613,MGYP003690924415,MGYP003691105439,MGYP003691316681,MGYP003691335813,MGYP003691419847,MGYP003691463331,MGYP003691623935,MGYP003691657529,MGYP003691660305,MGYP003692179791	MGYP003682175471,MGYP003682838195,MGYP003683346047,MGYP003683630735,MGYP003683819701,MGYP003683947289,MGYP003684005891,MGYP003684453233,MGYP003684848235,MGYP003685011671,MGYP003685055549,MGYP003685057599,MGYP003685122985,MGYP003685131047,MGYP003685212353,MGYP003685432323,MGYP003685628847,MGYP003686325551,MGYP003686344391,MGYP003686718071,MGYP003687022997,MGYP003687382363,MGYP003688200893,MGYP003688241157,MGYP003688424705,MGYP003688744145,MGYP003688984281,MGYP003689107263,MGYP003689187941,MGYP003689391675,MGYP003689504623,MGYP003689631659,MGYP003690050075,MGYP003690055089,MGYP003690178417,MGYP003690839153,MGYP003690865613,MGYP003690924415,MGYP003691105439,MGYP003691316681,MGYP003691335813,MGYP003691419847,MGYP003691463331,MGYP003691623935,MGYP003691657529,MGYP003691660305,MGYP003692179791					4.14	4.14	80.25	1	1	1	1	1	1					35.148410280608644	34.33417445172801	73.36412625096229	Doubtful
